tweetURL,tweetID,date,tweetContent,userLocation,isUserVerified,replyCount,retweetCount,likeCount,quoteCount,tweetLanguage,sourceLabel,coordinates,place,emotion,score
https://twitter.com/priyadarshy/status/1454029742882033664,1454029742882033664,2021-10-29T10:17:59+00:00,Thank #ATCE2021 for inviting me to speak. Accelerating transformation in the energy transition era is critical https://t.co/VA6IFF5vHy,US,False,0,1,0,0,en,LinkedIn,,,joy,0.6642802953720093
https://twitter.com/greenreccompany/status/1458963009406181385,1458963009406181385,2021-11-12T01:01:02+00:00,We're working with an international #NetZero consultancy with offices in #Singapore to hire an #Energy Transition Manager - salary $DOE. To apply please email Ieuan Jones; ieuan@greenrecruitmentcompany.com #ConnectingGreenTalent #Careers #EnergySector #APAC #Asia #Hiring https://t.co/Coa5RBTV7D,London,False,0,0,0,0,en,Hootsuite Inc.,,,fear,0.9243768453598022
https://twitter.com/SEEBeyondCoal/status/1460994665335996425,1460994665335996425,2021-11-17T15:34:06+00:00,"Diversify energy sources
#EnergyTransition  #EndCoal https://t.co/EwY5W8PL6q",Southeast Europe,False,0,0,0,0,en,Twitter Web App,,,fear,0.7831131815910339
https://twitter.com/GlobalGoalsEU/status/1452916785825689605,1452916785825689605,2021-10-26T08:35:30+00:00,"🔵#EnergyCommunities are essential for the #EnergyTransition but what is needed to ensure they reach their full potential?

🔵Explore the answer to this question with community leaders and energy experts in this #EUSEW2021 session 

💠https://t.co/DcycHwR4fY https://t.co/7ZpKv0gsjt",Worldwide,False,0,0,3,0,en,Twitter for iPhone,,,fear,0.9420470595359802
https://twitter.com/IGEFSO/status/1457939972317749250,1457939972317749250,2021-11-09T05:15:51+00:00,".@ntpclimited order Inox #Wind turbines for 150-MW project in #India https://t.co/CnTUGddYxN 
#renewable #Energy #RenewableEnergy #Energytransition #solar","New Delhi, India",False,0,0,0,0,en,Buffer,,,fear,0.9027596712112427
https://twitter.com/davidstebbings/status/1460587046297382914,1460587046297382914,2021-11-16T12:34:22+00:00,"IBM, Amazon Web Services Join Forces to Help Oil &amp; Gas Industry Accelerate Energy Transition https://t.co/0nVI6c3usj",UK,False,0,0,1,0,en,Twitter Web App,,,neutral,0.5978320837020874
https://twitter.com/ashik_cr13/status/1453230677562904577,1453230677562904577,2021-10-27T05:22:47+00:00,"Renewables overtake fossil fuels as the EU's main power source.@EU_Commission 🇪🇺adopted State of the Energy Union Reports for 2021, taking stock of the EU's progress in delivering the clean energy transition. 
#EUGreenDeal
https://t.co/EKtyzDbfxh @vonderleyen","Ile-de-France, France",False,0,0,1,0,en,Twitter for Android,,,fear,0.7803139090538025
https://twitter.com/pratidintime/status/1454406829694324741,1454406829694324741,2021-10-30T11:16:24+00:00,"#WORLD | India &amp; Italy Partner In Energy Transition 
#India #Italy #G20RomeSummit 
https://t.co/rC6VMu23Ct","Guwahati, India",False,0,1,7,0,en,Twitter Web App,,,fear,0.909974217414856
https://twitter.com/antonellaautero/status/1455205809869279244,1455205809869279244,2021-11-01T16:11:16+00:00,"#Draghi : “Il passaggio all'#Energia pulita è fondamentale, non possiamo più rimandare”
RT @GradedSpa 
#GreenEnergy #renewableenergy #energytransition #Sustainability #ClimateEmergency https://t.co/xCOEsnvtFl",Giornalista professionista,False,0,0,0,0,it,Twitter Web App,,,fear,0.9826093912124634
https://twitter.com/Redaktion_GEB/status/1453225971566399493,1453225971566399493,2021-10-27T05:04:05+00:00,"Fünf Energiewende-Startups ausgezeichnet: Start Up Energy Transition (SET) hat  die fünf Gewinner des fünften SET Awards 2021 für innovative Start-ups der Energiewende, bekannt gegeben. Die SET-Plattform wird von der Deutschen Energie-Agentur (dena) in… https://t.co/XyZAa4PvYR https://t.co/44PKCdJu9a",Stuttgart,False,1,2,3,0,de,dlvr.it,,,neutral,0.7385826706886292
